oldname,newname
gpw_v4_e_a015_064mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_cntm_2pt5_min
gpw_v4_e_a015_064mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_cntm_30_min
gpw_v4_e_a015_064mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_cntm_30_sec
gpw_v4_e_a015_064mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_dens_1_deg
gpw_v4_e_a015_064mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_dens_15_min
gpw_v4_e_a015_064mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_dens_2pt5_min
gpw_v4_e_a015_064mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_dens_30_min
gpw_v4_e_a015_064mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a015_064mt_2010_dens_30_sec
gpw_v4_e_a020_024bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_cntm_1_deg
gpw_v4_e_a020_024bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_cntm_15_min
gpw_v4_e_a020_024bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_cntm_2pt5_min
gpw_v4_e_a020_024bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_cntm_30_min
gpw_v4_e_a020_024bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_cntm_30_sec
gpw_v4_e_a020_024bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_dens_1_deg
gpw_v4_e_a020_024bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_dens_15_min
gpw_v4_e_a020_024bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_dens_2pt5_min
gpw_v4_e_a020_024bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_dens_30_min
gpw_v4_e_a020_024bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024bt_2010_dens_30_sec
gpw_v4_e_a020_024ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_cntm_1_deg
gpw_v4_e_a020_024ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_cntm_15_min
gpw_v4_e_a020_024ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_cntm_2pt5_min
gpw_v4_e_a020_024ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_cntm_30_min
gpw_v4_e_a020_024ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_cntm_30_sec
gpw_v4_e_a020_024ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_dens_1_deg
gpw_v4_e_a020_024ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_dens_15_min
gpw_v4_e_a020_024ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_dens_2pt5_min
gpw_v4_e_a020_024ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_dens_30_min
gpw_v4_e_a020_024ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024ft_2010_dens_30_sec
gpw_v4_e_a020_024mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_cntm_1_deg
gpw_v4_e_a020_024mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_cntm_15_min
gpw_v4_e_a020_024mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_cntm_2pt5_min
gpw_v4_e_a020_024mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_cntm_30_min
gpw_v4_e_a020_024mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_cntm_30_sec
gpw_v4_e_a020_024mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_dens_1_deg
gpw_v4_e_a020_024mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_dens_15_min
gpw_v4_e_a020_024mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_dens_2pt5_min
gpw_v4_e_a020_024mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_dens_30_min
gpw_v4_e_a020_024mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a020_024mt_2010_dens_30_sec
gpw_v4_e_a025_029bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_cntm_1_deg
gpw_v4_e_a025_029bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_cntm_15_min
gpw_v4_e_a025_029bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_cntm_2pt5_min
gpw_v4_e_a025_029bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_cntm_30_min
gpw_v4_e_a025_029bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_cntm_30_sec
gpw_v4_e_a025_029bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_dens_1_deg
gpw_v4_e_a025_029bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_dens_15_min
gpw_v4_e_a025_029bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_dens_2pt5_min
gpw_v4_e_a025_029bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_dens_30_min
gpw_v4_e_a025_029bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029bt_2010_dens_30_sec
gpw_v4_e_a025_029ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_cntm_1_deg
gpw_v4_e_a025_029ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_cntm_15_min
gpw_v4_e_a025_029ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_cntm_2pt5_min
gpw_v4_e_a025_029ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_cntm_30_min
gpw_v4_e_a025_029ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_cntm_30_sec
gpw_v4_e_a025_029ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_dens_1_deg
gpw_v4_e_a025_029ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_dens_15_min
gpw_v4_e_a025_029ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_dens_2pt5_min
gpw_v4_e_a025_029ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_dens_30_min
gpw_v4_e_a025_029ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029ft_2010_dens_30_sec
gpw_v4_e_a025_029mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_cntm_1_deg
gpw_v4_e_a025_029mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_cntm_15_min
gpw_v4_e_a025_029mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_cntm_2pt5_min
gpw_v4_e_a025_029mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_cntm_30_min
gpw_v4_e_a025_029mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_cntm_30_sec
gpw_v4_e_a025_029mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_dens_1_deg
gpw_v4_e_a025_029mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_dens_15_min
gpw_v4_e_a025_029mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_dens_2pt5_min
gpw_v4_e_a025_029mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_dens_30_min
gpw_v4_e_a025_029mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a025_029mt_2010_dens_30_sec
gpw_v4_e_a030_034bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_cntm_1_deg
gpw_v4_e_a030_034bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_cntm_15_min
gpw_v4_e_a030_034bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_cntm_2pt5_min
gpw_v4_e_a030_034bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_cntm_30_min
gpw_v4_e_a030_034bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_cntm_30_sec
gpw_v4_e_a030_034bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_dens_1_deg
gpw_v4_e_a030_034bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_dens_15_min
gpw_v4_e_a030_034bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_dens_2pt5_min
gpw_v4_e_a030_034bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_dens_30_min
gpw_v4_e_a030_034bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034bt_2010_dens_30_sec
gpw_v4_e_a030_034ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_cntm_1_deg
gpw_v4_e_a030_034ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_cntm_15_min
gpw_v4_e_a030_034ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_cntm_2pt5_min
gpw_v4_e_a030_034ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_cntm_30_min
gpw_v4_e_a030_034ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_cntm_30_sec
gpw_v4_e_a030_034ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_dens_1_deg
gpw_v4_e_a030_034ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_dens_15_min
gpw_v4_e_a030_034ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_dens_2pt5_min
gpw_v4_e_a030_034ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_dens_30_min
gpw_v4_e_a030_034ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034ft_2010_dens_30_sec
gpw_v4_e_a030_034mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_cntm_1_deg
gpw_v4_e_a030_034mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_cntm_15_min
gpw_v4_e_a030_034mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_cntm_2pt5_min
gpw_v4_e_a030_034mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_cntm_30_min
gpw_v4_e_a030_034mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_cntm_30_sec
gpw_v4_e_a030_034mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_dens_1_deg
gpw_v4_e_a030_034mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_dens_15_min
gpw_v4_e_a030_034mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_dens_2pt5_min
gpw_v4_e_a030_034mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_dens_30_min
gpw_v4_e_a030_034mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a030_034mt_2010_dens_30_sec
gpw_v4_e_a035_039bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_cntm_1_deg
gpw_v4_e_a035_039bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_cntm_15_min
gpw_v4_e_a035_039bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_cntm_2pt5_min
gpw_v4_e_a035_039bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_cntm_30_min
gpw_v4_e_a035_039bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_cntm_30_sec
gpw_v4_e_a035_039bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_dens_1_deg
gpw_v4_e_a035_039bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_dens_15_min
gpw_v4_e_a035_039bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_dens_2pt5_min
gpw_v4_e_a035_039bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_dens_30_min
gpw_v4_e_a035_039bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039bt_2010_dens_30_sec
gpw_v4_e_a035_039ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_cntm_1_deg
gpw_v4_e_a035_039ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_cntm_15_min
gpw_v4_e_a035_039ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_cntm_2pt5_min
gpw_v4_e_a035_039ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_cntm_30_min
gpw_v4_e_a035_039ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_cntm_30_sec
gpw_v4_e_a035_039ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_dens_1_deg
gpw_v4_e_a035_039ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_dens_15_min
gpw_v4_e_a035_039ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_dens_2pt5_min
gpw_v4_e_a035_039ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_dens_30_min
gpw_v4_e_a035_039ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039ft_2010_dens_30_sec
gpw_v4_e_a035_039mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_cntm_1_deg
gpw_v4_e_a035_039mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_cntm_15_min
gpw_v4_e_a035_039mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_cntm_2pt5_min
gpw_v4_e_a035_039mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_cntm_30_min
gpw_v4_e_a035_039mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_cntm_30_sec
gpw_v4_e_a035_039mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_dens_1_deg
gpw_v4_e_a035_039mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_dens_15_min
gpw_v4_e_a035_039mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_dens_2pt5_min
gpw_v4_e_a035_039mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_dens_30_min
gpw_v4_e_a035_039mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a035_039mt_2010_dens_30_sec
gpw_v4_e_a040_044bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_cntm_1_deg
gpw_v4_e_a040_044bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_cntm_15_min
gpw_v4_e_a040_044bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_cntm_2pt5_min
gpw_v4_e_a040_044bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_cntm_30_min
gpw_v4_e_a040_044bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_cntm_30_sec
gpw_v4_e_a040_044bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_dens_1_deg
gpw_v4_e_a040_044bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_dens_15_min
gpw_v4_e_a040_044bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_dens_2pt5_min
gpw_v4_e_a040_044bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_dens_30_min
gpw_v4_e_a040_044bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044bt_2010_dens_30_sec
gpw_v4_e_a040_044ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_cntm_1_deg
gpw_v4_e_a040_044ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_cntm_15_min
gpw_v4_e_a040_044ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_cntm_2pt5_min
gpw_v4_e_a040_044ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_cntm_30_min
gpw_v4_e_a040_044ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_cntm_30_sec
gpw_v4_e_a040_044ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_dens_1_deg
gpw_v4_e_a040_044ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_dens_15_min
gpw_v4_e_a040_044ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_dens_2pt5_min
gpw_v4_e_a040_044ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_dens_30_min
gpw_v4_e_a040_044ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044ft_2010_dens_30_sec
gpw_v4_e_a040_044mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_cntm_1_deg
gpw_v4_e_a040_044mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_cntm_15_min
gpw_v4_e_a040_044mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_cntm_2pt5_min
gpw_v4_e_a040_044mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_cntm_30_min
gpw_v4_e_a040_044mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_cntm_30_sec
gpw_v4_e_a040_044mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_dens_1_deg
gpw_v4_e_a040_044mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_dens_15_min
gpw_v4_e_a040_044mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_dens_2pt5_min
gpw_v4_e_a040_044mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_dens_30_min
gpw_v4_e_a040_044mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a040_044mt_2010_dens_30_sec
gpw_v4_e_a045_049bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_cntm_1_deg
gpw_v4_e_a045_049bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_cntm_15_min
gpw_v4_e_a045_049bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_cntm_2pt5_min
gpw_v4_e_a045_049bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_cntm_30_min
gpw_v4_e_a045_049bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_cntm_30_sec
gpw_v4_e_a045_049bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_dens_1_deg
gpw_v4_e_a045_049bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_dens_15_min
gpw_v4_e_a045_049bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_dens_2pt5_min
gpw_v4_e_a045_049bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_dens_30_min
gpw_v4_e_a045_049bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049bt_2010_dens_30_sec
gpw_v4_e_a045_049ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_cntm_1_deg
gpw_v4_e_a045_049ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_cntm_15_min
gpw_v4_e_a045_049ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_cntm_2pt5_min
gpw_v4_e_a045_049ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_cntm_30_min
gpw_v4_e_a045_049ft_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_cntm_30_sec
gpw_v4_e_a045_049ft_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_dens_1_deg
gpw_v4_e_a045_049ft_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_dens_15_min
gpw_v4_e_a045_049ft_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_dens_2pt5_min
gpw_v4_e_a045_049ft_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_dens_30_min
gpw_v4_e_a045_049ft_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049ft_2010_dens_30_sec
gpw_v4_e_a045_049mt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_cntm_1_deg
gpw_v4_e_a045_049mt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_cntm_15_min
gpw_v4_e_a045_049mt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_cntm_2pt5_min
gpw_v4_e_a045_049mt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_cntm_30_min
gpw_v4_e_a045_049mt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_cntm_30_sec
gpw_v4_e_a045_049mt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_dens_1_deg
gpw_v4_e_a045_049mt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_dens_15_min
gpw_v4_e_a045_049mt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_dens_2pt5_min
gpw_v4_e_a045_049mt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_dens_30_min
gpw_v4_e_a045_049mt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a045_049mt_2010_dens_30_sec
gpw_v4_e_a050_054bt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_cntm_1_deg
gpw_v4_e_a050_054bt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_cntm_15_min
gpw_v4_e_a050_054bt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_cntm_2pt5_min
gpw_v4_e_a050_054bt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_cntm_30_min
gpw_v4_e_a050_054bt_2010_cntm_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_cntm_30_sec
gpw_v4_e_a050_054bt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_dens_1_deg
gpw_v4_e_a050_054bt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_dens_15_min
gpw_v4_e_a050_054bt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_dens_2pt5_min
gpw_v4_e_a050_054bt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_dens_30_min
gpw_v4_e_a050_054bt_2010_dens_30_sec,gpw_v4_basic_demographic_characteristics_rev10_a050_054bt_2010_dens_30_sec
gpw_v4_e_a050_054ft_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_a050_054ft_2010_cntm_1_deg
gpw_v4_e_a050_054ft_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054ft_2010_cntm_15_min
gpw_v4_e_a050_054ft_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054ft_2010_cntm_2pt5_min
gpw_v4_e_a050_054ft_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_a050_054ft_2010_cntm_30_min
