ISO,UBID,context
bra,314400305000030,118
bra,510779205000010,118
bra,260750515000016,118
bra,330380715000007,118
bra,330380715000008,116
bra,432340805000011,118
bra,431200505000007,118
bra,431200505000008,118
bra,355310405000011,118
bra,355100905000356,116
bra,355480505000083,118
bra,355480505000080,118
bra,220520105000044,116
bra,220520105000040,118
bra,350110305000005,118
bra,353580405000034,118
bra,351970905000031,118
bra,431870505000124,118
bra,290810105000028,116
bra,130260305000003,118
bra,130260305000009,116
bra,431060345000001,118
bra,354805410000002,116
bra,291670805000016,118
bra,291670805000018,118
bra,411840210000001,118
bra,260280305000035,118
bra,430676710000004,118
bra,330190015000042,118
bra,410280205000017,118
bra,420590205000113,118
bra,355410205000324,118
bra,355030871000097,116
bra,353390815000007,118
bra,231220520000008,118
bra,292240905000028,118
bra,351385005000009,116
bra,430690820000001,118
bra,354660305000033,118
bra,350010505000045,118
bra,354190105000010,118
bra,291070109000015,118
bra,292490005000010,118
bra,355030846000365,118
bra,500110225000015,118
bra,310160705000088,118
bra,310160705000089,118
bra,312070605000007,118
bra,260370205000011,118
bra,355030830000477,118
bra,355030830000551,118
bra,431237745000004,118
bra,354560505000021,118
bra,354560505000022,118
bra,354990405000201,116
bra,410430305020012,118
bra,510760205000204,116
bra,520960605000007,116
bra,421450805000003,118
bra,130370005000039,116
bra,130370005000033,118
bra,355030816000132,116
bra,352530005000107,118
bra,352440205000252,118
bra,410550805000022,118
bra,310670505070035,118
bra,420515905000009,118
bra,354960705000012,118
bra,354780905000159,118
bra,330350005180089,118
bra,314390605000060,118
bra,432250907000002,118
bra,432250907000004,118
bra,431300305000004,118
bra,314000145000006,118
bra,430470505000083,118
bra,220515105000015,118
bra,220515105000016,118
bra,330600805000094,116
bra,431820040000004,118
bra,355600805000013,118
bra,312420310000004,116
bra,330455705220605,118
bra,140005005000017,118
bra,330455705220611,118
bra,330455705220612,118
bra,231390605000020,116
bra,260050005000039,118
bra,171750305000012,118
bra,352710805000086,118
bra,292890110000004,118
bra,330490405000480,118
bra,350320825000033,118
bra,530010805060003,116
bra,291520505000024,116
bra,330285805000178,118
bra,350210105000070,118
bra,355410210000053,118
bra,430170105000008,118
bra,430170105000007,118
bra,220550805000056,118
bra,410100205000034,118
bra,353800605000019,118
