GRIDCODE	ISOCODE	UNSDCODE	NAME0	CIESINCODE	DATATYPE	DATACODE	DATAYEAR	DATALEVEL	GRSTART	GREND	GRLEVEL	LASTCENSUS	MEANUNITKM
807	MKD	807	The former Yugoslav Republic of Macedonia	807	Population estimate/projection	6	2010	2	2002	2010	2	2002	473
818	EGY	818	Egypt	818	Final census	1	2006	2	2006	2012	1	2006	78965
826	GBR	826	United Kingdom of Great Britain and Northern Ireland	826	Final census	1	2011	6	2001	2011	2	2011	49
831	GGY	0	Guernsey	831	"Final census, population register, population estimate/projection"	3	2014	1	2007	2014	0	2015	7
832	JEY	0	Jersey	832	Final census	1	2011	1	2001	2011	1	2011	11
833	IMN	833	Isle of Man	833	Final census	1	2011	1	2006	2011	1	2016	35
834	TZA	834	United Republic of Tanzania	834	Final census	1	2012	3	2002	2012	2	2012	1780
840	USA	840	United States of America	840	Final census	1	2010	5	2000	2010	2	2010	1091
850	VIR	850	United States Virgin Islands	850	Final census	1	2010	2	2000	2010	2	2010	27
854	BFA	854	Burkina Faso	854	Final census	1	2006	3	1996	2006	3	2006	1449
858	URY	858	Uruguay	858	Final census	1	2011	3	2004	2011	2	2011	316
860	UZB	860	Uzbekistan	860	Population register	5	2013	1	2003	2013	1	1989	90470
862	VEN	862	Venezuela (Bolivarian Republic of)	862	Final census	1	2011	2	2001	2011	2	2011	20267
876	WLF	876	Wallis and Futuna Islands	876	Final census	1	2008	2	2003	2008	2	2013	35
882	WSM	882	Western Samoa	882	Final census	1	2011	2	2001	2011	2	2016	114
887	YEM	887	Yemen	887	Final census	1	2004	2	2004	2012	1	2004	10770
894	ZMB	894	Zambia	894	Final census	1	2010	3	2000	2010	3	2010	9631
902	ATF	0	French Southern Territories	902	Not applicable	0	0	0	0	0	0	0	6940
903	BVT	0	Bouvet Island	903	Not applicable	0	0	0	0	0	0	0	77
904	HMD	0	Heard Island and McDonald Islands	904	Not applicable	0	0	0	0	0	0	0	109
905	IOT	0	British Indian Ocean Territory	905	Not applicable	0	0	0	0	0	0	0	64
906	SGS	0	South Georgia and the South Sandwich Islands	906	Not applicable	0	0	0	0	0	0	0	1605
907	SP-	0	Spratly Islands	907	Not applicable	0	0	0	0	0	0	0	2
908	UMI	0	United States Minor Outlying Islands	908	Not applicable	0	0	0	0	0	0	0	42
999	KOS	0	Kosovo	999	Final census	1	2011	1	2011	2012	1	2011	406
304	GRL	304	Greenland	304	Population register	5	2010	3	2000	2010	3	2010	52140
